#Node[9]'s Routing Table at time:   1.00
Routing Table is empty!
Total routing rules: 0
#Node[9]'s Routing Table at time:   6.00
Src_Node[9]:1.0.2.9 -> Dst_Node[2]:1.0.2.2, Next_Hop[5]:1.0.2.5
Src_Node[9]:1.0.2.9 -> Dst_Node[3]:1.0.2.3, Next_Hop[3]:1.0.2.3
Src_Node[9]:1.0.2.9 -> Dst_Node[5]:1.0.2.5, Next_Hop[5]:1.0.2.5
Src_Node[9]:1.0.2.9 -> Dst_Node[10]:1.0.2.10, Next_Hop[10]:1.0.2.10
Total routing rules: 4
#Node[9]'s Routing Table at time:  11.00
Src_Node[9]:1.0.2.9 -> Dst_Node[2]:1.0.2.2, Next_Hop[5]:1.0.2.5
Src_Node[9]:1.0.2.9 -> Dst_Node[3]:1.0.2.3, Next_Hop[3]:1.0.2.3
Src_Node[9]:1.0.2.9 -> Dst_Node[5]:1.0.2.5, Next_Hop[5]:1.0.2.5
Src_Node[9]:1.0.2.9 -> Dst_Node[10]:1.0.2.10, Next_Hop[10]:1.0.2.10
Total routing rules: 4
#Node[9]'s Routing Table at time:  16.00
Src_Node[9]:1.0.2.9 -> Dst_Node[2]:1.0.2.2, Next_Hop[5]:1.0.2.5
Src_Node[9]:1.0.2.9 -> Dst_Node[3]:1.0.2.3, Next_Hop[3]:1.0.2.3
Src_Node[9]:1.0.2.9 -> Dst_Node[5]:1.0.2.5, Next_Hop[5]:1.0.2.5
Src_Node[9]:1.0.2.9 -> Dst_Node[10]:1.0.2.10, Next_Hop[10]:1.0.2.10
Total routing rules: 4
#Node[9]'s Routing Table at time:  21.00
Src_Node[9]:1.0.2.9 -> Dst_Node[2]:1.0.2.2, Next_Hop[5]:1.0.2.5
Src_Node[9]:1.0.2.9 -> Dst_Node[3]:1.0.2.3, Next_Hop[3]:1.0.2.3
Src_Node[9]:1.0.2.9 -> Dst_Node[5]:1.0.2.5, Next_Hop[5]:1.0.2.5
Src_Node[9]:1.0.2.9 -> Dst_Node[10]:1.0.2.10, Next_Hop[10]:1.0.2.10
Total routing rules: 4
